t,entropy_src_ip,entropy_dst_ip,entropy_dst_port,entropy_renyi_src,pps,bps,syn_pct,icmp_pct,new_flows_per_sec,avg_pkt_size
1778250945.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,6.0,119.3
1778250948.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250948.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250952.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250952.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250954.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250954.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250958.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250958.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250962.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250962.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250964.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250964.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250967.02,1.432,1.432,1.483,1.329,14.0,13544.0,0.143,0.143,4.0,120.9
1778250967.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,1.0,119.3
1778250968.02,1.0,1.0,-0.0,1.0,2.0,1728.0,0.0,0.5,0.0,108.0
1778250968.52,1.4,1.506,1.549,1.275,15.0,14296.0,0.133,0.133,5.0,119.1
1778250969.02,1.4,1.506,1.549,1.275,15.0,14296.0,0.133,0.133,0.0,119.1
1778250975.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250976.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250979.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250980.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250981.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250982.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250984.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250985.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250986.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250987.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250990.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250991.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250995.52,0.991,0.991,0.991,0.982,9.0,9560.0,0.222,0.0,2.0,132.8
1778250996.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,3.0,119.3
1778250996.52,1.449,0.985,0.811,1.367,7.0,5712.0,0.0,0.429,0.0,102.0
1778250998.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250998.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778250999.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778250999.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778251001.02,1.4,1.506,1.549,1.275,15.0,14296.0,0.133,0.133,5.0,119.1
1778251001.52,1.4,1.506,1.549,1.275,15.0,14296.0,0.133,0.133,0.0,119.1
1778251007.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
1778251007.52,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,0.0,119.3
1778251010.02,1.477,1.477,1.549,1.385,16.0,15272.0,0.125,0.188,5.0,119.3
