t,entropy_src_ip,entropy_dst_ip,entropy_dst_port,entropy_renyi_src,pps,bps,syn_pct,icmp_pct,new_flows_per_sec,avg_pkt_size
1778385411.73,-0.0,-0.0,1.855,-0.0,25.0,21384.0,0.16,0.0,6.0,106.9
1778385412.23,-0.0,-0.0,1.738,-0.0,13.0,11040.0,0.154,0.0,2.0,106.2
1778385412.73,-0.0,-0.0,2.842,-0.0,28.0,23360.0,0.071,0.0,8.0,104.3
1778385413.23,-0.0,-0.0,2.842,-0.0,28.0,23360.0,0.071,0.0,2.0,104.3
1778385413.73,-0.0,-0.0,2.281,-0.0,16.0,43840.0,0.125,0.0,2.0,342.5
1778385414.23,-0.0,-0.0,2.281,-0.0,16.0,43840.0,0.125,0.0,2.0,342.5
1778385414.73,-0.0,-0.0,1.738,-0.0,13.0,11040.0,0.154,0.0,0.0,106.2
1778385415.23,-0.0,-0.0,1.738,-0.0,13.0,11048.0,0.154,0.0,2.0,106.2
1778385415.73,0.536,0.73,2.569,0.349,98.0,89080.0,0.02,0.122,3.0,113.6
1778385416.23,0.459,0.612,2.8,0.277,124.0,110712.0,0.032,0.097,4.0,111.6
1778385416.73,-0.0,-0.0,2.824,-0.0,39.0,32680.0,0.103,0.0,0.0,104.7
1778385417.23,-0.0,-0.0,1.738,-0.0,13.0,14216.0,0.154,0.0,2.0,136.7
1778385417.73,-0.0,-0.0,1.738,-0.0,13.0,14216.0,0.154,0.0,0.0,136.7
1778385418.23,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,2.0,136.8
1778385418.73,-0.0,-0.0,2.842,-0.0,28.0,34864.0,0.071,0.0,0.0,155.6
1778385419.23,-0.0,-0.0,2.842,-0.0,28.0,34864.0,0.071,0.0,2.0,155.6
1778385419.73,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,0.0,136.8
1778385420.23,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,2.0,136.8
1778385420.73,0.007,0.007,0.008,0.002,23473.0,7521424.0,1.0,0.0,2361.0,40.1
1778385421.23,0.01,0.01,0.013,0.003,72198.0,23138200.0,0.999,0.0,43878.0,40.1
1778385421.73,0.012,0.012,0.015,0.003,62228.0,19947800.0,0.999,0.0,13490.0,40.1
1778385422.23,-0.0,-0.0,-0.0,-0.0,13490.0,4316800.0,1.0,0.0,0.0,40.0
