t,entropy_src_ip,entropy_dst_ip,entropy_dst_port,entropy_renyi_src,pps,bps,syn_pct,icmp_pct,new_flows_per_sec,avg_pkt_size
1778385569.95,-0.0,-0.0,1.855,-0.0,25.0,21392.0,0.16,0.0,6.0,107.0
1778385570.45,-0.0,-0.0,2.842,-0.0,28.0,23360.0,0.071,0.0,10.0,104.3
1778385570.95,-0.0,-0.0,2.842,-0.0,28.0,23360.0,0.071,0.0,0.0,104.3
1778385571.45,-0.0,-0.0,1.738,-0.0,13.0,11040.0,0.154,0.0,2.0,106.2
1778385571.95,-0.0,-0.0,1.738,-0.0,13.0,11040.0,0.154,0.0,0.0,106.2
1778385572.45,-0.0,-0.0,1.738,-0.0,13.0,11040.0,0.154,0.0,2.0,106.2
1778385572.95,-0.0,-0.0,1.738,-0.0,13.0,11040.0,0.154,0.0,0.0,106.2
1778385573.45,-0.0,-0.0,3.115,-0.0,31.0,56216.0,0.065,0.0,4.0,226.7
1778385573.95,0.612,0.805,2.829,0.378,99.0,121256.0,0.02,0.121,4.0,153.1
1778385574.45,0.581,0.759,2.867,0.35,107.0,97712.0,0.037,0.112,4.0,114.1
1778385574.95,-0.0,-0.0,2.824,-0.0,39.0,32672.0,0.103,0.0,0.0,104.7
1778385575.45,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,2.0,136.8
1778385575.95,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,0.0,136.8
1778385576.45,-0.0,-0.0,2.842,-0.0,28.0,34864.0,0.071,0.0,2.0,155.6
1778385576.95,-0.0,-0.0,2.842,-0.0,28.0,34864.0,0.071,0.0,0.0,155.6
1778385577.45,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,2.0,136.8
1778385577.95,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,0.0,136.8
1778385578.45,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,2.0,136.8
1778385578.95,0.249,0.249,0.321,0.119,314.0,81648.0,0.006,0.0,17.0,32.5
1778385579.45,0.269,0.269,0.405,0.133,1369.0,346680.0,0.004,0.0,355.0,31.7
1778385579.95,0.281,0.281,0.424,0.14,1295.0,330104.0,0.005,0.0,227.0,31.9
1778385580.45,-0.0,-0.0,-0.0,-0.0,227.0,50848.0,0.0,0.0,0.0,28.0
