t,entropy_src_ip,entropy_dst_ip,entropy_dst_port,entropy_renyi_src,pps,bps,syn_pct,icmp_pct,new_flows_per_sec,avg_pkt_size
1778385741.84,-0.0,-0.0,1.855,-0.0,25.0,21384.0,0.16,0.0,6.0,106.9
1778385742.34,-0.0,-0.0,2.842,-0.0,28.0,23360.0,0.071,0.0,10.0,104.3
1778385742.84,-0.0,-0.0,2.842,-0.0,28.0,23360.0,0.071,0.0,0.0,104.3
1778385743.34,-0.0,-0.0,1.738,-0.0,13.0,11040.0,0.154,0.0,2.0,106.2
1778385743.84,-0.0,-0.0,2.281,-0.0,16.0,43888.0,0.125,0.0,2.0,342.9
1778385744.34,-0.0,-0.0,2.281,-0.0,16.0,43888.0,0.125,0.0,2.0,342.9
1778385744.84,-0.0,-0.0,1.738,-0.0,13.0,11040.0,0.154,0.0,0.0,106.2
1778385745.34,-0.0,-0.0,2.842,-0.0,28.0,23368.0,0.071,0.0,2.0,104.3
1778385745.84,0.547,0.747,2.611,0.36,95.0,87832.0,0.021,0.126,3.0,115.6
1778385746.34,0.51,0.689,2.812,0.323,106.0,97144.0,0.038,0.113,4.0,114.6
1778385746.84,-0.0,-0.0,2.824,-0.0,39.0,32680.0,0.103,0.0,0.0,104.7
1778385747.34,-0.0,-0.0,1.738,-0.0,13.0,14168.0,0.154,0.0,2.0,136.2
1778385747.84,-0.0,-0.0,1.738,-0.0,13.0,14168.0,0.154,0.0,0.0,136.2
1778385748.34,-0.0,-0.0,2.842,-0.0,28.0,34864.0,0.071,0.0,2.0,155.6
1778385748.84,-0.0,-0.0,2.842,-0.0,28.0,34864.0,0.071,0.0,0.0,155.6
1778385749.34,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,2.0,136.8
1778385749.84,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,0.0,136.8
1778385750.34,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,2.0,136.8
1778385750.84,0.013,0.013,1.738,0.003,11624.0,2615088.0,0.0,0.999,0.0,28.1
1778385751.34,0.015,0.015,3.123,0.004,66580.0,14982456.0,0.0,0.999,8.0,28.1
1778385751.84,0.015,0.015,3.123,0.004,64777.0,14578584.0,0.0,0.999,0.0,28.1
1778385752.34,0.001,0.001,-0.0,0.0,9809.0,2197568.0,0.0,1.0,1.0,28.0
1778385752.84,-0.0,-0.0,-0.0,-0.0,1.0,576.0,0.0,0.0,0.0,72.0
