t,entropy_src_ip,entropy_dst_ip,entropy_dst_port,entropy_renyi_src,pps,bps,syn_pct,icmp_pct,new_flows_per_sec,avg_pkt_size
1778385894.1,-0.0,-0.0,2.246,-0.0,28.0,54160.0,0.143,0.0,8.0,241.8
1778385894.6,-0.0,-0.0,2.842,-0.0,28.0,23352.0,0.071,0.0,10.0,104.2
1778385895.1,-0.0,-0.0,2.842,-0.0,28.0,23352.0,0.071,0.0,0.0,104.2
1778385895.6,-0.0,-0.0,1.738,-0.0,13.0,11032.0,0.154,0.0,2.0,106.1
1778385896.1,-0.0,-0.0,1.738,-0.0,13.0,11032.0,0.154,0.0,0.0,106.1
1778385896.6,-0.0,-0.0,1.738,-0.0,13.0,11032.0,0.154,0.0,2.0,106.1
1778385897.1,-0.0,-0.0,1.738,-0.0,13.0,11032.0,0.154,0.0,0.0,106.1
1778385897.6,-0.0,-0.0,2.842,-0.0,28.0,23360.0,0.071,0.0,2.0,104.3
1778385898.1,0.547,0.747,2.611,0.36,95.0,87824.0,0.021,0.126,3.0,115.6
1778385898.6,0.51,0.689,2.812,0.323,106.0,97136.0,0.038,0.113,4.0,114.5
1778385899.1,-0.0,-0.0,2.824,-0.0,39.0,32672.0,0.103,0.0,0.0,104.7
1778385899.6,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,2.0,136.8
1778385900.1,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,0.0,136.8
1778385900.6,-0.0,-0.0,2.842,-0.0,28.0,34864.0,0.071,0.0,2.0,155.6
1778385901.1,-0.0,-0.0,2.842,-0.0,28.0,34864.0,0.071,0.0,0.0,155.6
1778385901.6,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,2.0,136.8
1778385902.1,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,0.0,136.8
1778385902.6,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,2.0,136.8
1778385903.1,-0.0,-0.0,1.738,-0.0,13.0,14224.0,0.154,0.0,0.0,136.8
1778385903.6,-0.0,-0.0,3.121,-0.0,66.0,87536.0,0.091,0.0,6.0,165.8
1778385904.1,-0.0,-0.0,3.121,-0.0,66.0,87536.0,0.091,0.0,0.0,165.8
1778385904.6,-0.0,-0.0,-0.0,-0.0,1.0,576.0,0.0,0.0,1.0,72.0
1778385905.1,-0.0,-0.0,-0.0,-0.0,1.0,576.0,0.0,0.0,0.0,72.0
