[21:22:48] Mang trong -> Entropy giu baseline = 3.4
[21:22:49] Mang trong -> Entropy giu baseline = 3.4
[21:22:50] Mang trong -> Entropy giu baseline = 3.4
[21:22:51] Mang trong -> Entropy giu baseline = 3.4
[21:22:52] Mang trong -> Entropy giu baseline = 3.4
[21:22:53] Mang trong -> Entropy giu baseline = 3.4
[21:22:54] Mang trong -> Entropy giu baseline = 3.4
[21:22:56] Mang trong -> Entropy giu baseline = 3.4
[21:22:57] Mang trong -> Entropy giu baseline = 3.4
[21:22:58] Mang trong -> Entropy giu baseline = 3.4
[21:22:59] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:00] Mang trong -> Entropy giu baseline = 3.4
[21:23:01] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:02] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:03] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:04] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:05] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:06] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:07] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:08] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:09] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:10] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:11] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:12] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:13] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:14] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:15] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:16] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:17] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:18] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:19] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:20] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:21] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:22] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:23] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:24] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:25] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:26] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:27] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
[21:23:28] Mang co 1 IPs | Goi tin (giay nay): 4 | Entropy: -0.0
